Age,AnnualIncome,TotalSpend,YearsAsCustomer,NumOfPurchases,AvgTransactionAmount,NumOfReturns,NumOfSupportQueries,SatisfactionScore,LastPurchaseDaysAgo,EmailOptIn,Churn,Gender_Female,Gender_Male,Gender_Other,PromotionResponse_Ignored,PromotionResponse_Responded,PromotionResponse_Unsubscribed
69,146.1,2533.91,7,10,114.05,6,4,1,31,False,False,1.0,0.0,0.0,0.0,0.0,1.0
26,81.31,5023.89,10,13,428.96,2,4,5,106,True,False,0.0,0.0,1.0,1.0,0.0,0.0
43,149.79,346.96,2,57,146.05,7,1,1,171,False,False,1.0,0.0,0.0,0.0,0.0,1.0
55,56.35,8478.68,5,7,243.91,1,3,2,27,False,True,0.0,0.0,1.0,0.0,0.0,1.0
18,25.27,706.88,18,46,252.05,2,1,1,346,False,True,1.0,0.0,0.0,0.0,0.0,1.0
68,38.87,9104.87,12,70,79.83,0,1,2,277,False,False,0.0,0.0,1.0,0.0,0.0,1.0
48,107.02,3877.07,15,75,440.41,6,4,4,222,True,True,0.0,0.0,1.0,0.0,1.0,0.0
47,128.68,3115.26,12,54,442.59,2,1,1,24,False,True,0.0,0.0,1.0,0.0,1.0,0.0
24,117.91,3639.44,13,43,86.71,5,4,5,363,True,True,1.0,0.0,0.0,0.0,1.0,0.0
36,27.9,2796.72,13,3,457.44,1,3,3,209,False,False,1.0,0.0,0.0,0.0,1.0,0.0
33,74.59,2342.26,13,57,198.67,8,3,3,105,True,False,0.0,1.0,0.0,1.0,0.0,0.0
35,199.64,4681.34,19,17,30.41,5,2,4,231,False,False,0.0,0.0,1.0,0.0,0.0,1.0
37,32.21,6645.37,14,86,43.31,8,3,4,10,True,False,0.0,1.0,0.0,0.0,1.0,0.0
57,53.03,8725.84,18,41,458.2,5,1,1,323,True,False,0.0,0.0,1.0,1.0,0.0,0.0
69,189.99,8119.04,10,26,177.58,6,3,5,282,True,False,1.0,0.0,0.0,0.0,1.0,0.0
46,29.64,4603.55,12,32,457.61,8,1,3,40,True,False,1.0,0.0,0.0,1.0,0.0,0.0
52,135.97,9593.72,14,25,19.91,1,2,1,319,False,False,0.0,0.0,1.0,0.0,0.0,1.0
37,149.16,9934.71,13,26,74.47,8,0,5,347,True,False,0.0,0.0,1.0,1.0,0.0,0.0
55,193.09,9293.56,1,23,301.86,0,0,1,141,True,True,0.0,1.0,0.0,0.0,1.0,0.0
44,94.6,2920.78,17,58,247.4,1,2,2,285,True,True,0.0,1.0,0.0,1.0,0.0,0.0
48,167.78,5239.08,18,42,457.81,1,3,3,107,True,True,1.0,0.0,0.0,1.0,0.0,0.0
54,26.34,9565.88,4,65,396.92,2,1,3,354,False,False,0.0,1.0,0.0,0.0,0.0,1.0
32,117.71,5946.67,1,68,15.01,1,3,4,123,True,True,0.0,1.0,0.0,0.0,0.0,1.0
50,92.16,5757.82,12,31,308.21,7,2,4,287,False,True,1.0,0.0,0.0,0.0,0.0,1.0
59,122.58,2471.84,2,49,231.51,0,4,2,306,False,False,0.0,1.0,0.0,0.0,1.0,0.0
18,29.19,618.83,13,71,50.53,5,2,2,283,False,True,0.0,1.0,0.0,0.0,1.0,0.0
38,76.47,3627.87,17,31,69.95,3,4,3,147,False,False,0.0,0.0,1.0,1.0,0.0,0.0
40,134.91,5441.07,13,96,303.47,7,4,4,280,True,True,1.0,0.0,0.0,1.0,0.0,0.0
23,192.06,3590.7,11,96,475.03,4,4,2,345,True,True,0.0,1.0,0.0,0.0,0.0,1.0
38,47.37,2420.39,12,94,384.1,2,4,1,174,True,True,1.0,0.0,0.0,0.0,0.0,1.0
27,75.36,8479.62,9,74,155.82,0,4,3,4,False,True,1.0,0.0,0.0,0.0,0.0,1.0
23,106.64,117.2,10,74,250.92,7,4,3,16,True,True,0.0,0.0,1.0,1.0,0.0,0.0
38,171.53,5152.97,9,95,127.92,5,2,4,10,True,True,0.0,0.0,1.0,0.0,0.0,1.0
50,34.59,7221.23,14,62,484.25,8,1,4,306,True,True,0.0,1.0,0.0,0.0,0.0,1.0
33,198.96,2515.01,5,12,237.82,5,4,5,253,True,True,0.0,1.0,0.0,0.0,0.0,1.0
69,193.98,5100.62,18,66,124.56,5,4,1,325,True,True,1.0,0.0,0.0,0.0,1.0,0.0
56,162.18,5056.85,18,53,401.28,3,3,3,232,False,False,1.0,0.0,0.0,1.0,0.0,0.0
64,143.6,191.55,4,59,309.44,2,1,3,148,False,True,1.0,0.0,0.0,0.0,1.0,0.0
29,148.32,4088.79,5,79,345.2,7,1,4,324,True,False,0.0,1.0,0.0,0.0,1.0,0.0
37,40.2,4537.99,10,14,257.61,9,3,4,297,True,True,0.0,1.0,0.0,1.0,0.0,0.0
21,79.63,9110.3,3,33,411.83,5,3,5,226,True,True,0.0,0.0,1.0,1.0,0.0,0.0
54,88.09,6976.65,2,42,47.69,6,1,2,232,True,False,0.0,0.0,1.0,0.0,0.0,1.0
57,118.45,4399.87,17,64,70.88,3,1,3,38,True,True,1.0,0.0,0.0,1.0,0.0,0.0
62,146.84,860.5,4,72,217.72,0,3,5,52,True,True,1.0,0.0,0.0,0.0,1.0,0.0
47,87.15,1058.35,12,98,83.04,6,2,2,30,True,True,0.0,0.0,1.0,1.0,0.0,0.0
49,131.62,1943.49,12,31,212.13,5,4,3,195,True,True,1.0,0.0,0.0,0.0,1.0,0.0
57,65.95,5970.17,13,48,173.63,0,3,1,60,True,False,0.0,0.0,1.0,1.0,0.0,0.0
64,118.69,3867.77,18,49,166.56,4,3,3,104,True,True,0.0,1.0,0.0,0.0,0.0,1.0
60,124.44,3675.02,5,29,89.22,4,1,5,112,False,True,0.0,1.0,0.0,0.0,0.0,1.0
18,77.17,9448.17,4,64,383.5,3,3,1,132,True,True,0.0,0.0,1.0,0.0,1.0,0.0
53,162.79,3598.89,1,54,396.71,7,2,3,87,False,True,1.0,0.0,0.0,0.0,0.0,1.0
26,100.52,6519.3,8,27,306.82,9,1,4,315,False,False,0.0,0.0,1.0,0.0,1.0,0.0
60,77.15,3890.25,17,78,249.74,8,2,4,37,True,False,0.0,0.0,1.0,0.0,1.0,0.0
46,184.82,1446.83,8,11,77.34,4,0,4,149,False,True,1.0,0.0,0.0,0.0,1.0,0.0
63,63.95,9188.24,4,25,50.02,8,4,4,133,True,True,0.0,1.0,0.0,0.0,1.0,0.0
57,168.92,4664.83,2,14,397.18,3,0,5,258,True,True,1.0,0.0,0.0,0.0,1.0,0.0
24,78.65,8686.13,11,94,219.21,1,0,5,236,False,True,1.0,0.0,0.0,1.0,0.0,0.0
47,81.14,7973.83,7,50,227.84,6,3,3,235,False,True,1.0,0.0,0.0,1.0,0.0,0.0
37,189.37,5838.93,15,58,74.03,5,1,4,156,True,False,0.0,1.0,0.0,0.0,1.0,0.0
57,190.43,255.19,19,85,417.78,5,1,4,130,False,False,0.0,1.0,0.0,0.0,0.0,1.0
21,150.72,9639.63,15,66,32.43,3,3,3,90,False,False,1.0,0.0,0.0,1.0,0.0,0.0
69,89.17,1334.93,16,4,403.21,9,4,5,219,False,True,0.0,0.0,1.0,0.0,1.0,0.0
